subject_id	panel	gene_symbol	pt1_pr1	pt2_pr2	pt2_pt1	pr2_pr1
001B	Neurology_II	AGBL2	-0.3815	-0.2672	-0.4314	-0.5457
001B	Neurology_II	AIDA	0.1221	-0.6249	-0.3412	0.4058
001B	Neurology_II	AK2	1.396	1.1057	-0.3789	-0.0886
001B	Neurology_II	AKR1B10	-0.3202	0.4092	0.7464	0.017
001B	Neurology_II	AKT2	-0.0276	1.7927	-0.0838	-1.9041
001B	Neurology_II	ALDH5A1	0.1857	0.5515	0.4209	0.0551
001B	Neurology_II	AMIGO1	-0.1471	-0.1977	0.3779	0.4285
001B	Neurology_II	AMPD3	-0.0308	0.075	-0.047	-0.1528
001B	Neurology_II	AP2B1	-0.2269	-0.3299	-0.3277	-0.2247
001B	Neurology_II	AP3S2	0.2547	0.469	0.071	-0.1433
001B	Neurology_II	ARFIP1	0.7227	0.2099	-0.0493	0.4635
001B	Neurology_II	ARHGEF1	0.2879	0.8556	-0.5343	-1.102
001B	Neurology_II	ARHGEF10	0.1936	1.0465	-0.2757	-1.1286
001B	Neurology_II	ARHGEF5	1.1133	2.1354	-0.571	-1.5931
001B	Neurology_II	ARID3A	-0.1799	-0.8498	-0.1636	0.5063
001B	Neurology_II	ARMCX2	1.7096	-0.8256	-0.3574	2.1778
001B	Neurology_II	ART5	0.3519	0.7338	0.2682	-0.1137
001B	Neurology_II	ASPSCR1	0.1805	1.2396	0.2731	-0.786
001B	Neurology_II	ATXN2	-0.1074	0.1802	0.9454	0.6578
001B	Neurology_II	ATXN2L	-0.1187	-0.0758	0.7535	0.7106
001B	Neurology_II	ATXN3	0.2415	0.8742	-0.0517	-0.6844
001B	Neurology_II	AZI2	0.9427	0.7617	-0.3736	-0.1926
001B	Neurology_II	BAP18	0.6081	0.7836	0.2875	0.112
001B	Neurology_II	BATF	-1.0253	-0.1566	-0.2719	-1.1406
001B	Neurology_II	BCAT2	0.8854	0.3291	0.2205	0.7768
001B	Neurology_II	BCL2L1	0.1237	1.4069	-0.2486	-1.5318
001B	Neurology_II	BHLHE40	-0.8471	-0.9187	0.4982	0.5698
001B	Neurology_II	BLOC1S2	1.1704	-0.8934	-0.9256	1.1382
001B	Neurology_II	BLOC1S3	0.2492	0.0444	-0.1729	0.0319
001B	Neurology_II	BOLA1	0.4035	-1.0111	0.4059	1.8205
001B	Neurology_II	BRD2	0.1112	-0.1826	0.2301	0.5239
001B	Neurology_II	BRME1	0.8181	-0.4543	-0.8154	0.457
001B	Neurology_II	BRSK2	0.4296	-0.6802	-0.5105	0.5993
001B	Neurology_II	C1QBP	-0.6307	-0.0974	0.3075	-0.2258
001B	Neurology_II	C1QTNF6	-0.1726	-0.0558	-0.0284	-0.1452
001B	Neurology_II	C2orf69	0.1045	1.0584	-0.1297	-1.0836
001B	Neurology_II	C7orf50	-0.1813	-0.0017	0.052	-0.1276
001B	Neurology_II	CABP2	-1.0732	-0.5946	0.4772	-0.0014
001B	Neurology_II	CACNA1C	-0.3153	0.0691	0.705	0.3206
001B	Neurology_II	CACNB1	0.345	-0.5139	-1.1566	-0.2977
001B	Neurology_II	CACNB3	0.3268	1.0678	0.1213	-0.6197
001B	Neurology_II	CADPS	-0.2501	0.2149	0.4384	-0.0266
001B	Neurology_II	CALCB	0.599	0.7718	0.4788	0.306
001B	Neurology_II	CAMLG	0.7143	-0.0197	0.2074	0.9414
001B	Neurology_II	CAMSAP1	0.525	0.7756	-0.4684	-0.719
001B	Neurology_II	CAPS	-0.0176	-0.1565	0.009	0.1479
001B	Neurology_II	CASC3	-0.6986	-0.0969	0.2044	-0.3973
001B	Neurology_II	CASP7	0.385	0.1228	-0.808	-0.5458
001B	Neurology_II	CBLN1	1.1186	-1.0225	-0.7954	1.3457
001B	Neurology_II	CCAR2	-0.0617	0.0349	0.0517	-0.0449
001B	Neurology_II	CCDC28A	0.1379	-0.3326	0.5632	1.0337
001B	Neurology_II	CCDC50	-0.2429	-0.1498	0.2565	0.1634
001B	Neurology_II	CD164L2	0.0537	-0.5133	-0.5447	0.0223
001B	Neurology_II	CD3D	0.222	-0.0415	-0.0017	0.2618
001B	Neurology_II	CDAN1	-0.001	0.5923	0.263	-0.3303
001B	Neurology_II	CDH23	0.0693	0.147	0.0531	-0.0246
001B	Neurology_II	CDH4	-0.1522	-0.523	0.298	0.6688
001B	Neurology_II	CDK5RAP3	0.0094	-0.8081	-0.7063	0.1112
001B	Neurology_II	CDKL5	0.0395	-1.0354	-0.3794	0.6955
001B	Neurology_II	CEND1	0.1781	-0.5442	-0.4832	0.2391
001B	Neurology_II	CGN	-0.4768	-0.19	0.7445	0.4577
001B	Neurology_II	CHCHD10	-0.1645	-0.1336	-0.2293	-0.2602
001B	Neurology_II	CHM	1.1043	-0.4239	-0.5504	0.9778
001B	Neurology_II	CHP1	-0.266	-0.7951	-0.2104	0.3187
001B	Neurology_II	CHRM1	-1.5606	-0.0309	0.6285	-0.9012
001B	Neurology_II	CIT	1.1166	0.9353	0.487	0.6683
001B	Neurology_II	CLEC2L	0.1689	-0.8897	-0.5881	0.4705
001B	Neurology_II	CLGN	-1.2535	1.1931	0.7706	-1.676
001B	Neurology_II	CLIC5	-0.8221	0.264	0.4779	-0.6082
001B	Neurology_II	CLNS1A	-0.5244	-0.8415	0.081	0.3981
001B	Neurology_II	CLSTN3	0.0102	0.5063	0.7503	0.2542
001B	Neurology_II	CNGB3	-0.7864	0.7488	1.1093	-0.4259
001B	Neurology_II	CNTF	-0.8533	-1.6905	-0.4841	0.3531
001B	Neurology_II	CNTNAP4	-0.424	-0.3979	-0.1194	-0.1455
001B	Neurology_II	COL28A1	-0.2797	0.4844	0.2627	-0.5014
001B	Neurology_II	CORO6	0.3459	-0.8082	-0.8177	0.3364
001B	Neurology_II	CRTAP	0.1176	-0.0754	0.1314	0.3244
001B	Neurology_II	CRYBB2	-0.3028	-0.1475	0.1067	-0.0486
001B	Neurology_II	CRYGD	0.2785	0.7548	-0.1057	-0.582
001B	Neurology_II	CRYM	0.4879	0.8407	-0.323	-0.6758
001B	Neurology_II	CSNK2A1	-0.237	0.8591	0.5188	-0.5773
001B	Neurology_II	CSPG5	-0.6465	0.307	0.138	-0.8155
001B	Neurology_II	CTNNA1	0.2106	-0.0542	-0.0689	0.1959
001B	Neurology_II	CTRL	0.0504	-0.0375	-0.1256	-0.0377
001B	Neurology_II	CUZD1	-0.1675	-0.5345	-0.2869	0.0801
001B	Neurology_II	DCC	0.0098	-0.4835	-0.4075	0.0858
001B	Neurology_II	DCUN1D1	0.2863	0.4861	-0.1473	-0.3471
001B	Neurology_II	DDHD2	0.1142	0.7115	0.1151	-0.4822
001B	Neurology_II	DDX25	-0.0287	0.1185	-0.5421	-0.6893
001B	Neurology_II	DDX53	-0.902	-0.4763	-0.0798	-0.5055
001B	Neurology_II	DEFB104A_DEFB104B	-0.2073	-1.0277	-0.2758	0.5446
001B	Neurology_II	DEFB116	0.4028	-0.3849	0.0401	0.8278
001B	Neurology_II	DEFB118	-0.4417	-0.3421	0.4847	0.3851
001B	Neurology_II	DGCR6	-0.3775	0.2657	0.7463	0.1031
001B	Neurology_II	DHRS4L2	-0.6835	0.216	0.0103	-0.8892
001B	Neurology_II	DIPK1C	-0.6894	-0.3405	0.2005	-0.1484
001B	Neurology_II	DLG4	0.4131	0.9084	-0.13	-0.6253
001B	Neurology_II	DLGAP5	-0.518	0.1588	0.7066	0.0298
001B	Neurology_II	DNAJA4	-0.127	-0.2807	-0.2015	-0.0478
001B	Neurology_II	DNAJC21	0.1421	-0.5172	-0.145	0.5143
001B	Neurology_II	DNLZ	-0.1461	-1.2346	-0.2017	0.8868
001B	Neurology_II	DNM3	0.4946	0.8106	0.4817	0.1657
001B	Neurology_II	DNPEP	0.154	0.3564	0.3083	0.1059
001B	Neurology_II	DOC2B	0.0163	0.0027	0.4873	0.5009
001B	Neurology_II	DOCK9	-0.1815	-1.2215	0.296	1.336
001B	Neurology_II	DOK1	0.7406	1.4359	-0.3478	-1.0431
001B	Neurology_II	DSCAM	-0.158	0.2898	0.6268	0.179
001B	Neurology_II	DTX2	-1.4061	-0.9751	0.129	-0.302
001B	Neurology_II	DUSP29	1.0649	1.4269	0.4289	0.0669
001B	Neurology_II	DXO	0.2762	0.8246	-0.1466	-0.695
001B	Neurology_II	DYNLT1	0.3318	0.4161	0.0389	-0.0454
001B	Neurology_II	ECSCR	-0.2973	-0.3863	-0.0182	0.0708
001B	Neurology_II	EDF1	-0.1068	-0.4001	0.2932	0.5865
001B	Neurology_II	EFHD1	-0.821	0.238	0.7803	-0.2787
001B	Neurology_II	EFNB2	-0.0575	-0.2242	0.1587	0.3254
001B	Neurology_II	EIF1AX	0.6794	0.2518	0.0552	0.4828
001B	Neurology_II	EIF4G3	0.3658	1.1757	-0.3208	-1.1307
001B	Neurology_II	ELAC1	0.4815	1.1244	-0.2339	-0.8768
001B	Neurology_II	ELAVL4	0.1321	1.9123	0.5367	-1.2435
001B	Neurology_II	EPB41L5	-0.2822	0.1767	0.8971	0.4382
001B	Neurology_II	ERC2	-0.0914	0.4244	1.0227	0.5069
001B	Neurology_II	ESYT2	0.2935	0.9058	-0.3219	-0.9342
001B	Neurology_II	FAM171A2	0.3719	0.6033	0.3185	0.0871
001B	Neurology_II	FARSA	2.1529	1.1114	0.0319	1.0734
001B	Neurology_II	FBN2	0.4535	0.4965	0.0376	-0.0054
001B	Neurology_II	FCER1A	-0.4682	-0.5824	0.0682	0.1824
001B	Neurology_II	FGD3	-0.5674	0.2197	0.2528	-0.5343
001B	Neurology_II	FGFBP3	0.3711	0.6512	0.3215	0.0414
001B	Neurology_II	FH	0.7377	-0.0128	0.217	0.9675
001B	Neurology_II	FKBP14	-0.0839	0.5948	-0.2825	-0.9612
001B	Neurology_II	FNDC1	0.1563	0.3192	0.2972	0.1343
001B	Neurology_II	FRMD7	0.6374	-0.0623	-0.9132	-0.2135
001B	Neurology_II	FTCD	0.4243	-0.2371	1.2346	1.896
001B	Neurology_II	FZD10	0.4202	0.0615	-0.3567	0.002
001B	Neurology_II	FZD8	0.8583	0.5202	0.2515	0.5896
001B	Neurology_II	GABRA4	0.0169	0.0817	-1.0887	-1.1535
001B	Neurology_II	GART	-0.1651	0.0841	0.7178	0.4686
001B	Neurology_II	GAST	-0.4468	0.056	0.2688	-0.234
001B	Neurology_II	GBA	0.7041	1.4961	1.1345	0.3425
001B	Neurology_II	GBP1	-0.1694	0.2615	0.9675	0.5366
001B	Neurology_II	GCC1	0.5002	0.9917	-0.4431	-0.9346
001B	Neurology_II	GFRAL	0.3244	0.25	-0.0171	0.0573
001B	Neurology_II	GID8	-0.233	0.0369	0.1717	-0.0982
001B	Neurology_II	GIGYF2	0.3733	0.9355	-0.0881	-0.6503
001B	Neurology_II	GIPC2	-0.025	0.3384	0.0859	-0.2775
001B	Neurology_II	GLP1R	-1.0421	1.406	0.8093	-1.6388
001B	Neurology_II	GNAS	0.2966	0.1049	0.3933	0.585
001B	Neurology_II	GNGT1	0.1189	-1.5079	0.2621	1.8889
001B	Neurology_II	GOLGA3	0.0102	0.7532	-0.2235	-0.9665
001B	Neurology_II	GPR101	0.284	-0.1603	0.5593	1.0036
001B	Neurology_II	GPR158	0.3246	-0.0552	0.0064	0.3862
001B	Neurology_II	GRIK2	0.9215	-0.5824	0.4455	1.9494
001B	Neurology_II	GRIN2B	-0.2349	0.4208	0.5346	-0.1211
001B	Neurology_II	GSTT2B	0.3022	0.4198	-0.0961	-0.2137
001B	Neurology_II	GTPBP2	2.7424	1.3654	-0.3547	1.0223
001B	Neurology_II	HDAC9	-0.1087	-0.7647	-0.1906	0.4654
001B	Neurology_II	HDGFL2	0.641	0.7951	-0.0307	-0.1848
001B	Neurology_II	HEPACAM2	0.1735	0.1557	0.3019	0.3197
001B	Neurology_II	HHEX	0.0071	0.5723	0.1082	-0.457
001B	Neurology_II	HIP1R	0.1329	-0.2274	0.3668	0.7271
001B	Neurology_II	HJV	-0.1929	-0.4659	0.3346	0.6076
001B	Neurology_II	HLA-A	0.2125	0.1216	0.1071	0.198
001B	Neurology_II	HNF1A	-0.7604	0.3762	0.4266	-0.71
001B	Neurology_II	HNRNPUL1	0.4101	-0.1188	0.0866	0.6155
001B	Neurology_II	HSD17B14	0.2952	0.2368	0.1082	0.1666
001B	Neurology_II	HTR1A	0.2081	0.185	-0.121	-0.0979
001B	Neurology_II	HTR1B	-1.0704	0.1204	0.3029	-0.8879
001B	Neurology_II	IDO1	0.3917	0.4458	0.5389	0.4848
001B	Neurology_II	IFNL2	0.5137	-0.3842	-0.0469	0.851
001B	Neurology_II	IFT20	-0.0023	-0.329	0.1842	0.5109
001B	Neurology_II	IGBP1	-0.0122	0.6425	-0.0666	-0.7213
001B	Neurology_II	IGDCC3	-0.8347	0.2128	0.3795	-0.668
001B	Neurology_II	IL13RA2	-0.237	-0.0802	-0.8116	-0.9684
001B	Neurology_II	IMPACT	0.507	0.7749	-0.3764	-0.6443
001B	Neurology_II	IMPG1	-0.4589	-0.3541	0.3693	0.2645
001B	Neurology_II	INPP5J	0.4585	0.384	0.5062	0.5807
001B	Neurology_II	INSL3	0.2635	0.2241	0.3542	0.3936
001B	Neurology_II	ITPRIP	-1.4659	-1.1557	0.6032	0.293
001B	Neurology_II	KCNC4	-0.4639	-1.2981	0.0418	0.876
001B	Neurology_II	KCNH2	-1.287	-0.8352	0.017	-0.4348
001B	Neurology_II	KCTD5	-0.0599	0.4931	0.2716	-0.2814
001B	Neurology_II	KIAA0319	-0.0938	-0.1665	0.1431	0.2158
001B	Neurology_II	KIF20B	0.0718	-0.1062	0.1212	0.2992
001B	Neurology_II	KIRREL1	-1.2502	-0.9839	0.6322	0.3659
001B	Neurology_II	KLF4	-0.4331	-0.7019	0.264	0.5328
001B	Neurology_II	KLHL41	-0.5175	-0.2952	0.3856	0.1633
001B	Neurology_II	KLRC1	0.2072	-0.489	0.3883	1.0845
001B	Neurology_II	KLRK1	0.1242	1.7828	0.3953	-1.2633
001B	Neurology_II	KRT8	-0.665	-0.278	-0.2873	-0.6743
001B	Neurology_II	LCN15	-0.5026	0.2453	0.7824	0.0345
001B	Neurology_II	LDLRAP1	0.737	1.2132	-0.8198	-1.296
001B	Neurology_II	LELP1	0.1082	0.7425	0.1495	-0.4848
001B	Neurology_II	LEO1	0.0696	0.9165	0.3696	-0.4773
001B	Neurology_II	LETM1	-0.4895	0.074	0.0224	-0.5411
001B	Neurology_II	LMNB2	-0.3005	-0.015	0.5639	0.2784
001B	Neurology_II	LMOD1	0.1168	0.2303	0.3522	0.2387
001B	Neurology_II	LMOD2	-1.2921	0.8387	0.4833	-1.6475
001B	Neurology_II	LRFN2	0.1629	-0.0958	-0.8649	-0.6062
001B	Neurology_II	LRP2	-0.4722	1.2838	0.9452	-0.8108
001B	Neurology_II	LRP2BP	-2.6271	-0.3778	-0.1459	-2.3952
001B	Neurology_II	LRRC38	0.4329	-0.306	0.3913	1.1302
001B	Neurology_II	LRTM1	-1.0938	-0.7051	0.5846	0.1959
001B	Neurology_II	LRTM2	0.2971	0.1547	0.1697	0.3121
001B	Neurology_II	LYPLA2	-0.5418	-0.8106	-0.1596	0.1092
001B	Neurology_II	LYSMD3	-0.8849	0.7917	-0.0772	-1.7538
001B	Neurology_II	MAG	-0.4543	-0.228	-0.2546	-0.4809
001B	Neurology_II	MAP1LC3A	-0.2053	-0.4423	0.0889	0.3259
001B	Neurology_II	MAP2	0.2173	0.086	-0.2802	-0.1489
001B	Neurology_II	MCEE	-0.1102	-0.9157	-0.5204	0.2851
001B	Neurology_II	MDM1	0.553	0.483	-0.2139	-0.1439
001B	Neurology_II	MFAP3L	-0.6166	-0.2709	0.7447	0.399
001B	Neurology_II	MICALL2	1.4955	1.0338	-0.1964	0.2653
001B	Neurology_II	MINK1	0.5961	0.9385	-0.9152	-1.2576
001B	Neurology_II	MN1	-3.3181	0.5382	3.4471	-0.4092
001B	Neurology_II	MORC3	0.2305	0.0541	-0.0333	0.1431
001B	Neurology_II	MRI1	-0.4688	0.1544	0.2276	-0.3956
001B	Neurology_II	MRPL28	-0.3702	0.2018	1.3855	0.8135
001B	Neurology_II	MRPL58	-0.302	0.1283	-0.023	-0.4533
001B	Neurology_II	MSLNL	-0.0782	-0.2787	-0.0476	0.1529
001B	Neurology_II	MTHFD2	0.1094	0.3397	0.0614	-0.1689
001B	Neurology_II	MYCBP2	-0.1653	0.3858	-0.3215	-0.8726
001B	Neurology_II	MYL6B	-1.5787	0.7666	0.3801	-1.9652
001B	Neurology_II	MYLPF	-0.968	-0.7503	0.501	0.2833
001B	Neurology_II	MYO6	-0.5267	0.4285	0.7903	-0.1649
001B	Neurology_II	MYOM1	-0.3314	0.3106	-0.3508	-0.9928
001B	Neurology_II	NAA80	1.4473	0.189	-1.0974	0.1609
001B	Neurology_II	NAPRT	-0.3993	-0.1532	0.2876	0.0415
001B	Neurology_II	NARS1	-1.0575	0.4787	0.6683	-0.8679
001B	Neurology_II	NEO1	-0.0994	0.0021	0.2435	0.142
001B	Neurology_II	NFIC	-0.2201	-0.6796	-0.0655	0.394
001B	Neurology_II	NGRN	0.2401	0.0832	-0.3328	-0.1759
001B	Neurology_II	NLGN1	-0.4473	0.7598	1.2287	0.0216
001B	Neurology_II	NLGN2	-0.2446	-0.9374	-0.4164	0.2764
001B	Neurology_II	NMT1	0.0654	1.2891	1.065	-0.1587
001B	Neurology_II	NRN1	-0.2194	0.1177	0.7099	0.3728
001B	Neurology_II	NRXN3	-0.0712	0.0162	0.301	0.2136
001B	Neurology_II	NT5C1A	0.4519	0.1571	0.0461	0.3409
001B	Neurology_II	OCLN	-0.2361	0.3116	0.8125	0.2648
001B	Neurology_II	OMP	-0.1397	-0.3248	0.3511	0.5362
001B	Neurology_II	OPHN1	0.4298	0.7922	-0.7641	-1.1265
001B	Neurology_II	OSBPL2	0.0681	-0.0014	0.2148	0.2843
001B	Neurology_II	OSTN	-0.2868	-0.1722	0.5835	0.4689
001B	Neurology_II	OTOA	0.0382	-0.6691	-0.6095	0.0978
001B	Neurology_II	OTUD7B	0.4327	0.652	-0.1534	-0.3727
001B	Neurology_II	PAFAH1B3	-0.0513	0.2742	0.4128	0.0873
001B	Neurology_II	PALM2	-0.1844	0.2941	1.0065	0.528
001B	Neurology_II	PCARE	0.414	-0.2092	-0.0232	0.6
001B	Neurology_II	PCBP2	0.3435	0.6174	0.0557	-0.2182
001B	Neurology_II	PCDH12	-0.1914	-0.0717	0.2249	0.1052
001B	Neurology_II	PDLIM5	0.6203	1.2957	-0.177	-0.8524
001B	Neurology_II	PDRG1	-0.0064	-0.7175	-0.7128	-0.0017
001B	Neurology_II	PFDN6	-0.1687	-0.048	-0.2096	-0.3303
001B	Neurology_II	PGM2	-0.0869	-0.1675	-0.2751	-0.1945
001B	Neurology_II	PHACTR2	0.798	1.3052	0.0477	-0.4595
001B	Neurology_II	PIBF1	0.3939	0.4838	-0.0133	-0.1032
001B	Neurology_II	PLB1	0.0979	0.1739	0.2322	0.1562
001B	Neurology_II	PLCB2	0.5971	-0.3381	-1.0982	-0.163
001B	Neurology_II	PLEKHO1	0.5868	0.77	-0.6201	-0.8033
001B	Neurology_II	PLSCR3	0.4134	0.6892	0.0844	-0.1914
001B	Neurology_II	PLXDC2	0.2418	0.2136	-0.0067	0.0215
001B	Neurology_II	PMS1	-0.3037	-0.519	-0.0603	0.155
001B	Neurology_II	PNLIPRP1	-0.3085	-0.5423	0.3404	0.5742
001B	Neurology_II	PNMA2	0.6841	0.0388	0.0837	0.729
001B	Neurology_II	PPP1R14A	0.0175	0.9247	0.4914	-0.4158
001B	Neurology_II	PPP1R14D	0.4402	0.1607	0.4345	0.714
001B	Neurology_II	PPT1	-0.9362	-0.6642	-0.2164	-0.4884
001B	Neurology_II	PRKAG3	0.2308	0.9811	-0.3205	-1.0708
001B	Neurology_II	PRKAR2A	0.3426	0.8115	-0.1458	-0.6147
001B	Neurology_II	PRND	0.1981	0.1738	0.1023	0.1266
001B	Neurology_II	PRSS53	-0.2787	0.16	0.3469	-0.0918
001B	Neurology_II	PSMD1	1.3333	0.3045	-0.079	0.9498
001B	Neurology_II	PSMD5	-0.5359	-0.3797	0.3406	0.1844
001B	Neurology_II	PTH	-0.7804	1.3308	0.4173	-1.6939
001B	Neurology_II	PTPRR	-0.0221	-0.8955	-0.7037	0.1697
001B	Neurology_II	RAB3GAP1	-0.2508	0.1216	0.0396	-0.3328
001B	Neurology_II	RAC3	-0.4033	0.091	-0.3531	-0.8474
001B	Neurology_II	RANBP2	0.3777	0.8342	0.4509	-0.0056
001B	Neurology_II	RBFOX3	-0.6088	-0.0803	0.5811	0.0526
001B	Neurology_II	RBM17	0.3389	-0.0808	-0.2527	0.167
001B	Neurology_II	RBP1	-0.4752	-0.7702	-0.5896	-0.2946
001B	Neurology_II	REEP4	0.4037	0.6635	-0.0146	-0.2744
001B	Neurology_II	RGCC	0.6884	0.749	-0.3324	-0.393
001B	Neurology_II	RGS10	0.4976	-0.0415	-0.2599	0.2792
001B	Neurology_II	RLN1	-0.3043	0.3018	0.3422	-0.2639
001B	Neurology_II	RNASEH2A	0.161	0.8547	0.2842	-0.4095
001B	Neurology_II	RPGR	0.6706	0.6658	-0.1969	-0.1921
001B	Neurology_II	RRAS	2.3091	0.3994	-1.371	0.5387
001B	Neurology_II	RRP15	1.1584	-0.5783	1.066	2.8027
001B	Neurology_II	RTN4IP1	0.1802	0.9394	0.0022	-0.757
001B	Neurology_II	S100A14	0.7784	0.7398	0.4194	0.458
001B	Neurology_II	S100G	0.129	0.76	0.8074	0.1764
001B	Neurology_II	SAFB2	-0.5703	0.3656	0.7309	-0.205
001B	Neurology_II	SAG	-0.055	0.3761	0.6683	0.2372
001B	Neurology_II	SATB1	0.563	0.2999	0.4067	0.6698
001B	Neurology_II	SCIN	1.4536	0.207	0.9411	2.1877
001B	Neurology_II	SCN2A	-1.0891	-1.1966	0.1007	0.2082
001B	Neurology_II	SCN2B	-1.129	0.2714	1.3962	-0.0042
001B	Neurology_II	SCN3A	0.6974	-0.5031	-1.3224	-0.1219
001B	Neurology_II	SCN3B	-0.426	-0.8707	0.0024	0.4471
001B	Neurology_II	SCRIB	-0.3033	-0.1541	-0.2036	-0.3528
001B	Neurology_II	SCT	0.408	-0.8504	-0.3526	0.9058
001B	Neurology_II	SEPTIN3	-0.2169	0.4181	0.6645	0.0295
001B	Neurology_II	SEPTIN8	0.2271	0.2626	0.3595	0.324
001B	Neurology_II	SEZ6	-0.2045	-0.0063	0.5445	0.3463
001B	Neurology_II	SH3BGRL2	-1.1406	0.1099	0.9035	-0.347
001B	Neurology_II	SH3GLB2	0.1928	0.3528	-0.1284	-0.2884
001B	Neurology_II	SLA2	0.1491	0.6133	0.0257	-0.4385
001B	Neurology_II	SLC1A4	-0.279	-0.2071	-0.0375	-0.1094
001B	Neurology_II	SLC44A4	-1.3545	-0.4017	0.815	-0.1378
001B	Neurology_II	SMS	-0.4504	-0.7493	-0.2209	0.078
001B	Neurology_II	SMTN	0.4852	1.1606	-0.1529	-0.8283
001B	Neurology_II	SNAP25	0.6085	-0.2433	-0.6884	0.1634
001B	Neurology_II	SNAPIN	0.4861	0.0621	-0.1603	0.2637
001B	Neurology_II	SNRPB2	-0.7934	0.0532	0.8388	-0.0078
001B	Neurology_II	SORBS1	0.4276	0.4969	0.2235	0.1542
001B	Neurology_II	SOWAHA	-1.1334	0.1261	0.2107	-1.0488
001B	Neurology_II	SOX2	0.6881	-0.1529	-0.1991	0.6419
001B	Neurology_II	SOX9	-1.1588	0.0603	1.3381	0.119
001B	Neurology_II	SPACA5_SPACA5B	0.4026	0.3207	0.4498	0.5317
001B	Neurology_II	SPAG1	0.0062	0.2005	0.4602	0.2659
001B	Neurology_II	SPRR3	-0.2482	-0.9033	-0.1553	0.4998
001B	Neurology_II	SPTBN2	0.0157	0.5174	-0.3419	-0.8436
001B	Neurology_II	SPTLC1	0.2364	0.9196	0.0199	-0.6633
001B	Neurology_II	STEAP4	0.5498	-0.0904	-0.247	0.3932
001B	Neurology_II	STX1B	-0.2375	0.4605	0.1602	-0.5378
001B	Neurology_II	STX3	0.2513	0.1802	-0.2622	-0.1911
001B	Neurology_II	STXBP1	0.5738	0.9109	-0.3844	-0.7215
001B	Neurology_II	SUOX	0.1937	0.5618	1.1892	0.8211
001B	Neurology_II	SV2A	1.1456	-0.9735	-0.6304	1.4887
001B	Neurology_II	SYNGAP1	0.1466	-1.0095	-1.1605	-0.0044
001B	Neurology_II	SYT1	0.6223	-0.6285	-0.723	0.5278
001B	Neurology_II	TARM1	-1.1823	0.1507	1.1294	-0.2036
001B	Neurology_II	TAX1BP1	0.2262	0.5753	-0.1111	-0.4602
001B	Neurology_II	TBR1	0.9932	-0.0683	-0.1965	0.865
001B	Neurology_II	TDO2	-0.6381	-0.2513	0.0803	-0.3065
001B	Neurology_II	TEX101	1.0133	-0.843	-1.1759	0.6804
001B	Neurology_II	TFAP2A	0.3336	-2.404	-1.5477	1.1899
001B	Neurology_II	TIMM8A	-0.6376	-0.0285	0.1929	-0.4162
001B	Neurology_II	TJP3	0.5524	-1.0036	-0.8971	0.6589
001B	Neurology_II	TMCO5A	-1.22	0.4565	0.6694	-1.0071
001B	Neurology_II	TMEM25	-0.0693	0.0734	0.4169	0.2742
001B	Neurology_II	TMPRSS11B	-0.6404	-1.4525	-0.9059	-0.0938
001B	Neurology_II	TMPRSS11D	0.0935	-0.0982	-0.0001	0.1916
001B	Neurology_II	TNIP1	0.294	0.7361	-0.3543	-0.7964
001B	Neurology_II	TOM1L2	1.606	-0.6027	-0.618	1.5907
001B	Neurology_II	TP73	-0.7988	-0.2357	0.3179	-0.2452
001B	Neurology_II	TPBGL	-1.1175	-0.9126	0.0169	-0.188
001B	Neurology_II	TPSD1	0.1771	0.1325	0.6574	0.702
001B	Neurology_II	TRIM40	-1.2788	1.4382	0.4635	-2.2535
001B	Neurology_II	TSC22D1	0.4321	0.3817	-0.2471	-0.1967
001B	Neurology_II	TSPAN7	-0.5284	-0.3085	0.9986	0.7787
001B	Neurology_II	TTF2	1.8805	1.4167	-0.1825	0.2813
001B	Neurology_II	TUBB3	-0.5341	-0.9744	0.3462	0.7865
001B	Neurology_II	TXNDC9	0.2737	0.3861	-0.1479	-0.2603
001B	Neurology_II	TXNL1	0.1782	0.1762	-0.0437	-0.0417
001B	Neurology_II	UPK3A	-0.0499	-0.0414	0.9466	0.9381
001B	Neurology_II	UROS	-1.7558	0.2205	2.1218	0.1455
001B	Neurology_II	USP28	-0.1206	0.1646	0.5063	0.2211
001B	Neurology_II	VAV3	0.6002	1.2208	-0.4512	-1.0718
001B	Neurology_II	VGF	0.2386	-0.3307	-0.3099	0.2594
001B	Neurology_II	VSNL1	0.0912	0.2728	0.6606	0.479
001B	Neurology_II	VWC2L	-0.11	-0.3179	0.1263	0.3342
001B	Neurology_II	WASHC3	0.4955	1.055	-0.1429	-0.7024
001B	Neurology_II	YAP1	0.0427	0.0139	0.2597	0.2885
001B	Neurology_II	ZHX2	-0.1983	0.1991	0.3782	-0.0192
001B	Neurology_II	ZPR1	-1.1645	-0.5169	0.835	0.1874
001B	Oncology	AARSD1	0.3522	0.6441	-0.1736	-0.4655
001B	Oncology	ABL1	0.3033	0.7799	-0.0867	-0.5633
001B	Oncology	ACAA1	-1.1276	0.3793	1.1372	-0.3697
001B	Oncology	ACP6	0.057	0.1326	0.294	0.2184
001B	Oncology	ADAMTS15	0.0405	-0.0213	0.5254	0.5872
001B	Oncology	ADAMTS8	0.1825	0.0576	-0.01	0.1149
001B	Oncology	ADCYAP1R1	-0.0228	0.1506	0.3175	0.1441
001B	Oncology	ADGRG1	0.0057	0.245	0.5345	0.2952
